modelo,combustivel,cor,ano,km,valor
FIAT STRADA RANCH CD 1.3 AT 2023,FLEX,PRETO,2023,0,"R$139.800,00"
FIAT STRADA VOLCANO 1.3 CD 2023,FLEX,VERMELHO,2023,18,"R$119.800,00"
RENAULT KWID ZEN 2 2023,FLEX,BRANCO,2023,32.448,"R$66.900,00"
TOYOTA COROLLA XEI 2.0L FFV CVT 2023,FLEX,VERMELHO,2023,14.250,"R$141.990,00"
CHEVROLET ONIX PLUS 10MT LT2 2023,FLEX,PRATA,2023,0,"R$84.990,00"
CHEVROLET ONIX 1.0 TMT LT1 2023,FLEX,BRANCO,2023,5.600,"R$79.900,00"
FIAT STRADA VOLCANO 1.3 FLEX 8V CD AUT. 2023,FLEX,VERMELHO,2023,83,"R$139.900,00"
NISSAN FRONTIER PRO4X 2.3L BI-TURBO 2023,DIESEL,BRANCO,2023,9.000,"R$284.990,00"
FORD RANGER LIMITED 3.2 4X4 CD AUT DIESEL 2023,DIESEL,CINZA,2023,12.800,"R$299.990,00"
FIAT STRADA VOLCANO 1.3 FLEX 8V CD AUT. 2023,FLEX,CINZA,2023,0,"R$149.990,00"
TOYOTA COROLLA GR-SPORT 2.0 FLEX AUT. 2023,FLEX,PRETO,2023,9.000,"R$169.990,00"
TOYOTA COROLLA ALTIS HV 2023,HÍBRIDO,BRANCO,2023,10.000,"R$179.990,00"
NISSAN FRONTIER PLATI. CD 2.3 Bi-TB DIES.AUT. 2023,DIESEL,BRANCO,2023,0,"R$295.990,00"
CHEVROLET ONIX PLUS 10TAT LTZ 2023,FLEX,VERMELHO,2023,300,"R$109.990,00"
FIAT CRONOS DRIVE 1.3 2023,FLEX,VERMELHO,2023,3.226,"R$89.990,00"
CHERY TIGGO 5X PRO 1.5 TURBO FLEX AUT 2023,FLEX,PRATA,2023,10.300,"R$143.990,00"
CHERY TIGGO7 PRO 16T 2023,GASOLINA,CINZA,2023,3.545,"R$174.990,00"
RENAULT SANDERO 1.0 12V SCE FLEX S EDITION MANUAL 2023,GASOLINA,BRANCO,2023,0,"R$79.990,00"
CHEVROLET TRACKER 1.2 TURBO 12V FLEX AUT. 2023,FLEX,PRATA,2023,0,"R$137.990,00"
CHEVROLET TRACKER PREMIER 1.2 TURBO 12V FLEX AUT 2023,FLEX,BRANCO,2023,0,"R$151.990,00"
CHEVROLET S10 2023,DIESEL,PRATA,2023,100,"R$269.900,00"
TOYOTA COROLLA CROSS 2.0 VVT-IE FLEX XRE DIRECT SHIFT 2023,FLEX,BRANCO,2023,9.310,"R$168.900,00"
CHEVROLET TRACKER 1.0 TURBO FLEX LT AUTOMÁTICO 2023,FLEX,CINZA,2023,2.390,"R$125.300,00"
RENAULT SANDERO SEDITION 2023,FLEX,BRANCO,2023,600,"R$72.900,00"
CHEVROLET ONIX HATCH LT 1.0 12V FLEX 5P MEC 2023,FLEX,AZUL,2023,400,"R$80.000,00"
FIAT PULSE IMPETUS 1.0 TURBO CVT 2023,FLEX,CINZA,2023,5.600,"R$122.500,00"
RENAULT KWID ZEN 2 2023,FLEX,BRANCO,2023,11.000,"R$64.990,00"
FIAT STRADA VOLCANO CABINE DUPLA 2023,FLEX,BRANCO,2023,0,"R$119.800,00"
FIAT STRADA VOLCANO CABINE DUPLA 2023,FLEX,CINZA,2023,0,"R$121.800,00"
FIAT STRADA VOLCANO AT 2023,FLEX,BRANCO,2023,0,"R$131.800,00"
CHERY TIGGO7 PRO 16T 2023,GASOLINA,BRANCO,2023,6.890,"R$179.800,00"
FIAT STRADA RANCH AT 2023,FLEX,BRANCO,2023,1,"R$138.800,00"
FIAT STRADA VOLCANO AT 2023,FLEX,BRANCO,2023,0,"R$131.800,00"
FIAT FASTBACK LIMITED TURBO 200 FLEX AT 4P 2023,FLEX,CINZA,2023,0,"R$163.800,00"
FIAT STRADA VOLCANO AT 2023,FLEX,CINZA,2023,0,"R$133.800,00"
FIAT STRADA VOLCANO CABINE DUPLA 2023,FLEX,BRANCO,2023,0,"R$119.800,00"
FIAT FASTBACK LIMITED TURBO 200 FLEX AT 4P 2023,FLEX,CINZA,2023,0,"R$165.800,00"
FIAT STRADA VOLCANO 1.3 CD 2023,FLEX,BRANCO,2023,0,"R$119.800,00"
VOLKSWAGEN GOL MC4 _4P_ 2022,FLEX,BRANCO,2022,59.588,"R$56.990,00"
RENAULT SANDERO STEPWAY ZEN 2022,FLEX,PRATA,2022,22.688,"R$73.990,00"
FIAT MOBI EASY _4P_ 2022,FLEX,BRANCO,2022,198,"R$49.900,00"
JEEP COMMANDER OVR TD380 2022,DIESEL,CINZA,2022,88,"R$295.890,00"
TOYOTA COROLLA A PREMIUM H 2022,FLEX,PRETO,2022,28.763,"R$166.900,00"
FIAT PULSE IMPETUS 1.0 TURBO CVT 2022,FLEX,VERMELHO,2022,4.000,"R$122.800,00"
RAM 1500 CLASSIC LARAMIE 5.7 CD V8 4X4 AUT. 2022,GASOLINA,PRETO,2022,0,"R$389.800,00"
FIAT TORO ULTRA 2.0 16V 4X4 DIESEL AUT 2022,DIESEL,AZUL,2022,37.000,"R$185.800,00"
FORD RANGER XLT 3.2 20V 4X4 CD DIESEL AUT. 2022,DIESEL,CINZA,2022,36.000,"R$235.800,00"
FIAT PULSE AUDACE TF200 2022,FLEX,VERMELHO,2022,27,"R$115.800,00"
MITSUBISHI L200 TRITON SPORT GL 2.4 2022,DIESEL,BRANCO,2022,11.000,"R$186.800,00"
FIAT TORO ENDURANCE 1.8 16V FLEX AUT. 2022,FLEX,VERMELHO,2022,0,"R$129.800,00"
FIAT TORO ULTRA 2.0 16V 4X4 DIESEL AUT 2022,DIESEL,VERMELHO,2022,0,"R$202.800,00"
FIAT PULSE IMPETUS 1.0 TURBO CVT 2022,FLEX,AZUL,2022,5.000,"R$125.800,00"
HONDA CITY SEDAN TOURING 1.5 FLEX 16V 4P AUT 2022,FLEX,BRANCO,2022,12.000,"R$119.800,00"
HYUNDAI HB20S DIAMOND PLUS 1.0 TURBO AT 2022,FLEX,PRETO,2022,12.000,"R$99.800,00"
FIAT TORO 2.0 16V TURBO DIESEL VOLCANO 4WD 2022,DIESEL,BRANCO,2022,82,"R$200.800,00"
FIAT PULSE IMPETUS 1.0 TURBO CVT 2022,FLEX,CINZA,2022,0,"R$129.900,00"
FIAT TORO ULTRA 2.0 16V 4X4 DIESEL AUT 2022,DIESEL,BRANCO,2022,0,"R$210.900,00"
CHEVROLET TRACKER LT 1.0 TURBO 12V FLEX AUT. 2022,FLEX,LARANJA,2022,44.572,"R$115.900,00"
RENAULT KWID ZEN 1.0 MEC 2022,FLEX,BRANCO,2022,4.692,"R$55.900,00"
VOLKSWAGEN GOL 1.0 G8 2022,FLEX,BRANCO,2022,39.000,"R$59.900,00"
RENAULT KWID OUTSIDER 1.0 2022,FLEX,PRATA,2022,11.782,"R$65.900,00"
FIAT PULSE IMPETUS 1.0 TURBO CVT 2022,FLEX,BRANCO,2022,9.966,"R$117.990,00"
